Source,Target
0KuL3xwqHXo,vU7v5A5P8BM
0KuL3xwqHXo,W4b43wg58M8
0KuL3xwqHXo,SbjnIK6VEjc
0KuL3xwqHXo,MEcc8e7WwXg
0KuL3xwqHXo,VIVF65-HTlc
0KuL3xwqHXo,ipuU0hHYiF4
0KuL3xwqHXo,WISmbOw_bMk
0KuL3xwqHXo,QtOHEuiZINw
0KuL3xwqHXo,AxISB26avpw
0KuL3xwqHXo,NKvxheeXKqE
0KuL3xwqHXo,AdQsDopZfS4
0KuL3xwqHXo,lQx6YBtQZbw
0KuL3xwqHXo,qF7SRQFd49E
0KuL3xwqHXo,Ut7e-0X8lds
0KuL3xwqHXo,MSpcdzwBatg
0KuL3xwqHXo,1XokkMj-tYI
0KuL3xwqHXo,whz9bafVvFE
0KuL3xwqHXo,5ajEkB3zzuk
0KuL3xwqHXo,Bhplg8YCu-M
0KuL3xwqHXo,vU7v5A5P8BM
0KuL3xwqHXo,D7plDibrP1U
0KuL3xwqHXo,yPOMfBBY8PQ
0KuL3xwqHXo,Bhplg8YCu-M
0KuL3xwqHXo,7rOQv_6L9fQ
0KuL3xwqHXo,7rOQv_6L9fQ
0KuL3xwqHXo,S6vlu1FRaic
0KuL3xwqHXo,KhGyqT58vEY
0KuL3xwqHXo,4AtOU0dDXv8
0KuL3xwqHXo,64zrt9ruoVQ
0KuL3xwqHXo,O6BODAJVYc8
0KuL3xwqHXo,O6BODAJVYc8
0KuL3xwqHXo,aMcjxSThD54
0KuL3xwqHXo,9rCNMTR-5_g
0KuL3xwqHXo,_lu_Hgw60Ns
0KuL3xwqHXo,n24A-PLNVg0
0KuL3xwqHXo,rdsABjAP8Yg
0KuL3xwqHXo,B_cmw2bIJEw
0KuL3xwqHXo,THr_seahKUI
0KuL3xwqHXo,ESKmRiLjNpg
0KuL3xwqHXo,Ut7e-0X8lds
0KuL3xwqHXo,zPJl2e38S4g
0KuL3xwqHXo,0fNy_tWYkd4
0KuL3xwqHXo,ooiNfcOlHrk
0KuL3xwqHXo,evhLzq7Gsak
0KuL3xwqHXo,1zNr8Pf1QkY
0KuL3xwqHXo,1zNr8Pf1QkY
0KuL3xwqHXo,Nyl4PFvo7Zg
0KuL3xwqHXo,dAJLJRRJY3E
0KuL3xwqHXo,pzHCd2X1GaM
0KuL3xwqHXo,_lu_Hgw60Ns
0KuL3xwqHXo,ZxD3o-9H1lY
0KuL3xwqHXo,cBCurldzXBk
0KuL3xwqHXo,4AtOU0dDXv8
0KuL3xwqHXo,bTVK3_6V7f0
0KuL3xwqHXo,dw8mROuQs44
0KuL3xwqHXo,evhLzq7Gsak
0KuL3xwqHXo,emvY4ryyUqs
0KuL3xwqHXo,v5y5pEnZp14
0KuL3xwqHXo,g_t9cLKM9GA
0KuL3xwqHXo,ESKmRiLjNpg
0KuL3xwqHXo,_NpiOJ_21Zg
0KuL3xwqHXo,8XBLuU_4Qgo
0KuL3xwqHXo,8XBLuU_4Qgo
0KuL3xwqHXo,stXgn2iZAAY
0KuL3xwqHXo,IuPABtlr-rM
0KuL3xwqHXo,aXuM-LpVD50
0KuL3xwqHXo,ibolWhRxLIo
0KuL3xwqHXo,Ho78eOffWys
0KuL3xwqHXo,FDsZziOTIpY
0KuL3xwqHXo,837e8Axigv0
0KuL3xwqHXo,L8IYPnnsYJw
0KuL3xwqHXo,5YgluF8VTWg
0KuL3xwqHXo,M9OweRZlWgQ
0KuL3xwqHXo,6q-TxUjNRrA
0KuL3xwqHXo,4wJwHLWDHUw
0KuL3xwqHXo,HtihmXFWqGo
0KuL3xwqHXo,cCHOI39nJPM
0KuL3xwqHXo,iSgUPvqwpfM
