Source,Target
-4lgt0xQgYA,EbLB9mZkpqQ
-4lgt0xQgYA,qVi92t54nns
-4lgt0xQgYA,ieiQOJ8W6YU
-4lgt0xQgYA,CYebJBcLZHA
-4lgt0xQgYA,RrW47fEYrwo
-4lgt0xQgYA,mt22NvsTRG0
-4lgt0xQgYA,KGMoyXYicmM
-4lgt0xQgYA,OxN0qnqaYx0
-4lgt0xQgYA,wWIz28q4miE
-4lgt0xQgYA,bGNv0rbeIpU
-4lgt0xQgYA,UQYzXS-S1KQ
-4lgt0xQgYA,QvwTGiB9aLQ
-4lgt0xQgYA,TaEXgTyBtsU
-4lgt0xQgYA,xYShiXMGULE
-4lgt0xQgYA,g1vFoVDKA_c
-4lgt0xQgYA,Dk9uitzdGXQ
-4lgt0xQgYA,o2e2B5wsFsQ
-4lgt0xQgYA,3A5-wv-_QbM
-4lgt0xQgYA,PGnsiru6GiE
-4lgt0xQgYA,ESRAQtXVQL0
-4lgt0xQgYA,cp63c52SOhY
-4lgt0xQgYA,47j4fifbaiY
-4lgt0xQgYA,AsCPBuuguTQ
-4lgt0xQgYA,o9EXoKb7el4
-4lgt0xQgYA,4x4CMDvVI78
-4lgt0xQgYA,6kLYXbNZWRs
-4lgt0xQgYA,LlrXVkl4VTE
-4lgt0xQgYA,dGM_E8T1t_E
-4lgt0xQgYA,zwxWKnUzRq0
-4lgt0xQgYA,wzfSFKMXIDo
-4lgt0xQgYA,OH2R9ObnnRA
0gLWN3uq74o,EW3KD4kqqug
0gLWN3uq74o,nEkWlXGdWKA
0gLWN3uq74o,ZYKUXMAou3Q
0gLWN3uq74o,YGtzcZsthos
0gLWN3uq74o,hbTwoLah2VY
0gLWN3uq74o,DtAmJdK1Jck
0gLWN3uq74o,j1oMVG1ZMlA
0gLWN3uq74o,-4lgt0xQgYA
0gLWN3uq74o,EbLB9mZkpqQ
0gLWN3uq74o,qVi92t54nns
0gLWN3uq74o,ieiQOJ8W6YU
0gLWN3uq74o,CYebJBcLZHA
0gLWN3uq74o,RrW47fEYrwo
0gLWN3uq74o,mt22NvsTRG0
0gLWN3uq74o,KGMoyXYicmM
0gLWN3uq74o,OxN0qnqaYx0
0gLWN3uq74o,wWIz28q4miE
0gLWN3uq74o,bGNv0rbeIpU
0gLWN3uq74o,UQYzXS-S1KQ
0gLWN3uq74o,QvwTGiB9aLQ
0gLWN3uq74o,TaEXgTyBtsU
0gLWN3uq74o,xYShiXMGULE
0gLWN3uq74o,g1vFoVDKA_c
0gLWN3uq74o,Dk9uitzdGXQ
0gLWN3uq74o,o2e2B5wsFsQ
3A5-wv-_QbM,PGnsiru6GiE
3A5-wv-_QbM,ESRAQtXVQL0
3A5-wv-_QbM,cp63c52SOhY
3A5-wv-_QbM,47j4fifbaiY
3A5-wv-_QbM,AsCPBuuguTQ
3A5-wv-_QbM,o9EXoKb7el4
3A5-wv-_QbM,4x4CMDvVI78
3A5-wv-_QbM,6kLYXbNZWRs
3A5-wv-_QbM,LlrXVkl4VTE
3A5-wv-_QbM,dGM_E8T1t_E
3A5-wv-_QbM,zwxWKnUzRq0
3A5-wv-_QbM,wzfSFKMXIDo
3A5-wv-_QbM,OH2R9ObnnRA
3A5-wv-_QbM,UOAWps8djuQ
3A5-wv-_QbM,eIns8Y0xegE
3A5-wv-_QbM,Ed3wQVhyJUc
3A5-wv-_QbM,hV23YfxzTMA
3A5-wv-_QbM,Pc1Obe1BWhc
3A5-wv-_QbM,mdnkDgLkQGM
3A5-wv-_QbM,UQniNh_6LOY
3A5-wv-_QbM,mn1-mtmO0Cg
47j4fifbaiY,AsCPBuuguTQ
47j4fifbaiY,o9EXoKb7el4
47j4fifbaiY,4x4CMDvVI78
47j4fifbaiY,6kLYXbNZWRs
47j4fifbaiY,LlrXVkl4VTE
47j4fifbaiY,dGM_E8T1t_E
47j4fifbaiY,zwxWKnUzRq0
47j4fifbaiY,wzfSFKMXIDo
47j4fifbaiY,OH2R9ObnnRA
47j4fifbaiY,UOAWps8djuQ
47j4fifbaiY,eIns8Y0xegE
47j4fifbaiY,Ed3wQVhyJUc
