Source,Target
0-7wMD5ISIs,PgLpsot50E4
0-7wMD5ISIs,tRBsfAIg4-0
0-7wMD5ISIs,86sFN_2kw5k
0-7wMD5ISIs,5ucCA-4Q--w
0-7wMD5ISIs,36tggrpRoTI
0-7wMD5ISIs,9S1Gc1nSXd4
0-7wMD5ISIs,i63jWjoAWHE
0-7wMD5ISIs,M2q64UowX9g
0-7wMD5ISIs,tEnCoocmPQM
0-7wMD5ISIs,1E9j4689ZWQ
0-7wMD5ISIs,Ku52zNnft8k
0-7wMD5ISIs,PjqKPHZJgF0
0-7wMD5ISIs,lo57l5ZDgwU
0-7wMD5ISIs,g2orJgNOpnU
0-7wMD5ISIs,B663R7kgxEA
0-7wMD5ISIs,J6R0X6NTnSw
0-7wMD5ISIs,cMD63TwzB1o
0-7wMD5ISIs,IVzGsh0zRec
0-7wMD5ISIs,pgN-vvVVxMA
0-7wMD5ISIs,FPm7xM849-E
0-7wMD5ISIs,7iQn-toQp6A
0-7wMD5ISIs,7iQn-toQp6A
0-7wMD5ISIs,vHwOMWGAg_o
0-7wMD5ISIs,AenmqoozqoA
0-7wMD5ISIs,vY_5EvoL1Is
0-7wMD5ISIs,J6MwAGArfZc
0-7wMD5ISIs,uexk7jWXYmU
0-7wMD5ISIs,Am6NHDbj6XA
0-7wMD5ISIs,3tUCuMSPQwE
0-7wMD5ISIs,ggJMQHltiQc
0-7wMD5ISIs,WyuPSLj_6aw
0-7wMD5ISIs,WyuPSLj_6aw
0-7wMD5ISIs,kton-qrKNLc
0-7wMD5ISIs,nlozE2m-NMc
0-7wMD5ISIs,ZQ-YX-5bAs0
0-7wMD5ISIs,Jcghl0lbDSk
0-7wMD5ISIs,Jcghl0lbDSk
0-7wMD5ISIs,5LoBGoQPUNc
0-7wMD5ISIs,LgmxMuW6Fsc
0-7wMD5ISIs,kiE71P138rc
0-7wMD5ISIs,scLYjsvrUMk
0-7wMD5ISIs,Y-iFgDK_D5s
0-7wMD5ISIs,2tDKp41nrw8
0-7wMD5ISIs,PGRcxXLfWrM
0-7wMD5ISIs,RFywfHsFpQM
0-7wMD5ISIs,XnTKdsUr3rQ
0-7wMD5ISIs,RNlQU-7y9Fo
0-7wMD5ISIs,lfN3wZDaiv4
0-7wMD5ISIs,nsZvmFUXkrI
0-7wMD5ISIs,dT5ALH3ICTc
0-7wMD5ISIs,4AtOU0dDXv8
0-7wMD5ISIs,clQGvMBNmqs
0-7wMD5ISIs,D4fC4HVpP3M
0-7wMD5ISIs,NNJKWVmK-GM
0-7wMD5ISIs,IlkBLwl4aBM
0-7wMD5ISIs,me5ifeBFaFo
0-7wMD5ISIs,TnCa71iUVxA
0-7wMD5ISIs,wowAOdTYqw8
0-7wMD5ISIs,0YVbVXOjJv4
0-7wMD5ISIs,I7B0z_2EZmQ
0-7wMD5ISIs,E-u9uo0laA8
0-7wMD5ISIs,Cf-PEPKrIAA
0-7wMD5ISIs,mctn16hLzhg
0-7wMD5ISIs,EnfoA2fF6GY
0-7wMD5ISIs,56KYMMGudcU
0-7wMD5ISIs,pTysrwci0pU
0-7wMD5ISIs,VQhjbCxOxdo
0-7wMD5ISIs,0XuOkYlUWIs
0-7wMD5ISIs,aMcjxSThD54
0-7wMD5ISIs,SxAp27sFaIM
0-7wMD5ISIs,pCjY3ZQY8WY
0-7wMD5ISIs,ySy8mcceTno
0-7wMD5ISIs,o7iL2KzDh38
0-7wMD5ISIs,SphTGtDlhHw
0-7wMD5ISIs,Ml9v3wHLuWI
0-7wMD5ISIs,mKpPhVVF8So
0-7wMD5ISIs,AbEHRrq7xwU
0-7wMD5ISIs,GEB2f5dpFXs
0-7wMD5ISIs,3eQP6JoxtKk
0-7wMD5ISIs,BC19fhyTG_M
0-7wMD5ISIs,6sHIq41sI-w
0-7wMD5ISIs,QdnvoWyoiY0
0-7wMD5ISIs,C_ijc7A5oAc
0-7wMD5ISIs,qdywyua1qqg
0-7wMD5ISIs,DoGE_cD37wc
0-7wMD5ISIs,UUlS7BuYddA
0-7wMD5ISIs,nRafaCcfrcI
0-7wMD5ISIs,ZCPwpcurYns
0-7wMD5ISIs,nWZMfPP34g8
0-7wMD5ISIs,aj8mN_7Apcw
0-7wMD5ISIs,kewIE0Zw6yY
0-7wMD5ISIs,ai_UWoM37dI
0-7wMD5ISIs,x0qZDZAq36U
0-7wMD5ISIs,N39uwTykTQk
0-7wMD5ISIs,ItL6vcUrpUs
0-7wMD5ISIs,ZUSPD9zOyJs
