Source,Target
0bNU_vv6mJA,_aG5UXUByn8
0bNU_vv6mJA,j-ivAyqJh0Y
0bNU_vv6mJA,pCMEIlEA5Js
0bNU_vv6mJA,jK7AeiPS0-0
0bNU_vv6mJA,VxZgNqL0niU
0bNU_vv6mJA,Fr2GksNWdX8
0bNU_vv6mJA,HoFEa5Lbnu0
0bNU_vv6mJA,d1ms0PHfBVc
0bNU_vv6mJA,kXjeAqydmtk
0bNU_vv6mJA,Kam3xozMyqs
0bNU_vv6mJA,VtV4nNeZlO4
0bNU_vv6mJA,FH0NCnqKwmM
0bNU_vv6mJA,1FCUwGm804M
0bNU_vv6mJA,mU2yb76829Q
0bNU_vv6mJA,V6ElE2xs48c
0bNU_vv6mJA,Tn7JdGq53kg
0bNU_vv6mJA,xK81LJ6wzvU
0bNU_vv6mJA,7ZSRN8jRrOA
0bNU_vv6mJA,BgXOoWQY-MU
0bNU_vv6mJA,RlWE8WQluvU
0bNU_vv6mJA,yFt6wpGd7PM
0bNU_vv6mJA,_d4YwsF008M
0bNU_vv6mJA,jBkT5oLtFy4
0bNU_vv6mJA,8C8IFR53tts
0bNU_vv6mJA,RUcn2OhbWb4
0bNU_vv6mJA,Kp4sOVy3DMs
0bNU_vv6mJA,uLVck0MVPlk
0bNU_vv6mJA,d_Cz3cTSxGI
0bNU_vv6mJA,3pg9pUSIKtM
0bNU_vv6mJA,7_FJUSBFbJM
0bNU_vv6mJA,6QyAOfalGQ4
0bNU_vv6mJA,MaYwIdpuPRg
0bNU_vv6mJA,OKPBS2hN9G0
0bNU_vv6mJA,RFgzVKoam68
0bNU_vv6mJA,U2ZLv2LXKPI
0bNU_vv6mJA,OmIYyeSg3v4
0bNU_vv6mJA,pCzEhJPg3pU
0bNU_vv6mJA,4b07d_ihmB0
0bNU_vv6mJA,M8WDB3mKmHg
0bNU_vv6mJA,2XEWN0CFghA
0bNU_vv6mJA,miD3ujpqYTk
0bNU_vv6mJA,Hpm8O--mNTc
0bNU_vv6mJA,lv2HF8TerCM
0bNU_vv6mJA,cIYLwrEESKg
0bNU_vv6mJA,KuWnanSN_AI
0bNU_vv6mJA,Aa0pMMyBVLs
0bNU_vv6mJA,wJTU0l_bq-8
0bNU_vv6mJA,QrTAA6hCkrc
0bNU_vv6mJA,AlrbKKGIcjI
0bNU_vv6mJA,URRpbARFaIk
0bNU_vv6mJA,NqWCE1izfz8
0bNU_vv6mJA,syiEqRf0Xp8
0bNU_vv6mJA,3pHQgAxT0nQ
0bNU_vv6mJA,R_5YBLuXAuU
0bNU_vv6mJA,G7dUVIij4AA
0bNU_vv6mJA,8yOApYi-wmk
0bNU_vv6mJA,BPGspKxSMGY
0bNU_vv6mJA,n3raQ-mZu-Q
0bNU_vv6mJA,yOHtg7u-sAc
0bNU_vv6mJA,_Hi7gwON6IY
0bNU_vv6mJA,tR5FZC2FP-U
