Category, Percent Liked, Percent Disliked
Autos & Vehicles,0.940183,0.0598169
Comedy,0.958465,0.0415352
Education,0.953466,0.0465338
Entertainment,0.923643,0.0763572
Film & Animation,0.930293,0.0697068
Gaming,0.957544,0.0424563
Howto & Style,0.964097,0.0359032
Movies,0.946716,0.0532838
Music,0.95535,0.0446502
News & Politics,0.860148,0.139852
Nonprofits & Activism,0.910664,0.0893364
People & Blogs,0.913294,0.0867058
Pets & Animals,0.968275,0.0317249
Science & Technology,0.944608,0.0553922
Shows,0.789684,0.210316
Sports,0.922871,0.0771289
Travel & Events,0.95344,0.0465604
