Video Reaction,Video Comments
0.642857,0
0.75,0
0.705882,0.00303644
0.928571,0.00295858
0.928571,0.0224829
0.75,0.000968992
0.764706,0.0153707
0.947368,0
0.666667,0
0.888889,0.0389294
0.916667,0.00319489
0.985714,0.0100386
0.925926,0.00364964
0.853659,0.00289645
0.166667,0.00273224
0.990654,0.0154674
0.92,0.0012747
0.882353,0.0233733
0.857143,0.00188324
0.909091,0.000610874
0.875,0.000610501
0.995327,0.0332739
0.85,0.00058072
0.736842,0.00563698
0.785714,0.000561798
0.666667,0
0.842105,0.00608407
0.857143,0
0.928571,0.00437158
0.956522,0.00374532
0.941176,0.0202235
0.952381,0.00421941
0.975,0.00515198
0.8,0.0128271
0.983193,0.0148566
0.933333,0.00102459
0.926829,0.0414534
0.8,0
0.875,0
0.888889,0.000483325
0.955556,0.0168431
0.9,0.0100768
0.76087,0
0.921053,0.00383693
0.925373,0.000479157
0.983333,0.00234962
0.974684,0.00979935
0.993846,0.0199721
0.98,0.00230415
0.986014,0.0169569
0.96,0.0100457
0.647059,0.0239386
0.8,0.00851254
0.957746,0.0245975
0.884211,0.0129464
0.988909,0.044603
0.888889,0
0.988764,0.0118734
0.888889,0.0166229
0.163265,0.0226975
0.99115,0.00648508
0.944444,0.000424088
0.982143,0.0016899
0.967391,0.00504626
0.882353,0.00167785
0.992806,0.0024855
0.986301,0.0355813
0,0.000408664
0.99449,0.0259846
0.904762,0.00161812
0.994286,0.0112721
0.95,0.00120385
0.984496,0.00516488
0.757576,0.00197941
0.996764,0.0172346
0.968254,0.00466926
0.938776,0.00463142
0.888889,0
0.4,0.0019084
0.945946,0.00152149
0.761905,0.0015015
0.960396,0.0171131
0.8,0.00743218
0.967213,0.00259259
0.852941,0.00477941
0.857143,0.000367512
0.985507,0.00729927
0.961538,0.000727273
0.82,0.00761421
0.931507,0.0246288
0.983051,0.00684932
0.944444,0
0.881356,0.00285205
0.785714,0.012429
0.983696,0.0116814
0.985294,0.0331453
0.991667,0.00246479
0.991935,0.0699227
0.987805,0.0059712
0.869565,0.00983491
0.954545,0.00280603
0.98801,0.0208768
0.967742,0.00624783
0.983333,0.0017337
0.975,0.00413365
0.97619,0.00446122
0.857143,0.0119863
0.916667,0.000683761
0.833333,0.000682128
0.75,0.00102249
0.971831,0
0.991011,0.0319402
0.666667,0.000656599
0.968531,0.0554462
0.75,0
0.152174,0
0.979381,0.00719189
0.8,0.00325945
0.625,0
0.981221,0.0486697
0.928571,0.0226904
0.975,0.00453515
0.964286,0.0135922
0.977778,0.00480615
0.85,0.00383754
0.761905,0.00670498
0.948718,0.00319183
0.992424,0.00443881
0.984962,0.0136335
0.972603,0.0135135
0.949275,0.0285356
0.727273,0.00250391
0.961538,0.000312402
0.98773,0.0108125
0.994444,0.0182099
0.8,0.000616523
0.980392,0.00769468
0.928571,0.0101351
0.939394,0.00306466
0.992537,0.035474
0.990196,0.0137573
0.789474,0.000608643
0.987013,0.00273556
0.813953,0.0051375
0.996805,0.00391802
0.967742,0.000301296
0.954545,0
0.989691,0.0033043
0.905797,0.00359066
0.996124,0.00387828
0.5,0.00118977
0.833333,0.00118906
0.993333,0.0662722
0.875,0.00146714
0.955621,0.0432243
0.990991,0.00788321
0.967213,0.00145264
0.647887,0.014774
0.5,0.00144676
0.926941,0.00201962
0.985294,0.00229687
0.98773,0.0100172
0.877193,0.00342857
0.988889,0.00199772
0.99711,0.00770328
0.818182,0.000568343
0.916667,0.0036869
0.982456,0.00226822
0.988201,0.0239639
0.991342,0.00676247
