Category,Number of Videos,Percent of Total
Film & Animation,1646,0.0489575
Autos & Vehicles,328,0.00975581
Music,3214,0.095595
Pets & Animals,385,0.0114512
Sports,2567,0.0763511
Travel & Events,266,0.00791172
Gaming,1031,0.0306654
People & Blogs,3290,0.0978555
Comedy,2663,0.0792064
Entertainment,10587,0.314892
News & Politics,3527,0.104905
Howto & Style,2030,0.0603789
Education,863,0.0256685
Science & Technology,1040,0.030933
Nonprofits & Activism,69,0.00205229
Movies,1,2.97433e-05
Shows,114,0.00339074
